slope01,slope12,slope23,slope34,slope45,slope56,slope67
-8.79,-24.18,37.36,-10.99,-15.38,-32.97,15.38
-8.79,-24.18,37.36,-10.99,-15.38,-32.97,15.38
-8.79,-24.18,37.36,-10.99,-15.38,-32.97,15.38
-8.79,-24.18,37.36,-10.99,-15.38,-32.97,15.38
-8.79,-24.18,37.36,-10.99,-15.38,-32.97,15.38
-8.79,-24.18,37.36,-10.99,-15.38,-32.97,15.38
-8.79,-24.18,37.36,-10.99,-15.38,-32.97,15.38
-8.79,-24.18,37.36,-10.99,-15.38,-32.97,15.38
-8.79,-24.18,37.36,-10.99,-15.38,-32.97,15.38
-8.79,-24.18,37.36,-10.99,-15.38,-32.97,15.38
-8.79,-24.18,37.36,-10.99,-15.38,-32.97,15.38
-8.79,-24.18,37.36,-10.99,-15.38,-32.97,15.38
-8.79,-24.18,37.36,-10.99,-15.38,-32.97,15.38
-8.79,-24.18,37.36,-10.99,-15.38,-32.97,15.38
-8.79,-24.18,37.36,-10.99,-15.38,-32.97,15.38
-8.79,-24.18,37.36,-10.99,-15.38,-32.97,15.38
-8.79,-24.18,37.36,-10.99,-15.38,-32.97,15.38
-8.79,-24.18,37.36,-10.99,-15.38,-32.97,15.38
-8.79,-24.18,37.36,-10.99,-15.38,-32.97,15.38
-8.79,-24.18,37.36,-10.99,-15.38,-32.97,15.38
-8.79,-24.18,37.36,-10.99,-15.38,-32.97,15.38
-8.79,-24.18,37.36,-10.99,-15.38,-32.97,15.38
-8.79,-24.18,37.36,-10.99,-15.38,-32.97,15.38
-8.79,-24.18,37.36,-10.99,-15.38,-32.97,15.38
-8.79,-24.18,37.36,-10.99,-15.38,-32.97,15.38
-8.79,-24.18,37.36,-10.99,-15.38,-32.97,15.38
-8.79,-24.18,37.36,-10.99,-15.38,-32.97,15.38
-8.79,-24.18,37.36,-10.99,-15.38,-32.97,15.38
-8.79,-24.18,37.36,-10.99,-15.38,-32.97,15.38
-8.79,-24.18,37.36,-10.99,-15.38,-32.97,15.38
-8.79,-24.18,37.36,-10.99,-15.38,-32.97,15.38
-8.79,-24.18,37.36,-10.99,-15.38,-32.97,15.38
-8.79,-24.18,37.36,-10.99,-15.38,-32.97,15.38
-8.79,-24.18,37.36,-10.99,-15.38,-32.97,15.38
-8.79,-24.18,37.36,-10.99,-15.38,-28.57,10.99
-8.79,-24.18,37.36,-10.99,-15.38,-24.18,6.59
-8.79,-24.18,37.36,-10.99,-15.38,-19.78,0.0
-8.79,-24.18,37.36,-10.99,-15.38,-15.38,0.0
-8.79,-24.18,37.36,-10.99,-15.38,0.0,-8.79
-8.79,-19.78,32.97,-10.99,-15.38,0.0,0.0
-8.79,-15.38,28.57,-10.99,-15.38,0.0,0.0
-8.79,-10.99,24.18,-10.99,-13.19,0.0,8.79
-15.38,-6.59,19.78,-10.99,-8.79,0.0,0.0
